Site,Year,Date,Plot,Location,Snow_cover,Water_cover,Land_cover,Total_cover,Observer,Notes,Snow_cover == as.numeric(Snow_cover)
barr,2011,29-May-11,brw1,b10,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,b12,100,0,0,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,b2,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,b4,100,0,0,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,b6,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,b8,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,d10,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,d12,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,d2,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,d4,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,d6,NA,10,0,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,d8,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,f10,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,f12,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,f2,NA,0,20,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,f4,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,f6,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,f8,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,h10,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,h12,NA,5,15,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,h2,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,h4,NA,5,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,h6,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,h8,NA,5,0,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,j10,100,0,0,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,j12,NA,5,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,j2,NA,0,30,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,j4,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,j6,NA,5,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,j8,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,l10,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,l12,NA,5,0,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,l2,NA,0,50,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,l4,NA,0,15,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,l6,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw1,l8,NA,0,15,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,b10,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,b12,NA,0,5,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,b2,NA,10,70,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,b4,NA,0,60,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,b6,NA,0,50,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,b8,NA,0,40,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,d10,NA,0,50,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,d12,NA,5,55,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,d2,10,10,80,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,d4,NA,10,70,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,d6,NA,5,75,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,d8,NA,0,60,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,f10,NA,5,55,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,f12,NA,0,70,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,f2,NA,0,35,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,f4,NA,0,80,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,f6,NA,0,80,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,f8,NA,0,60,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,h10,NA,0,40,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,h12,NA,0,10,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,h2,NA,10,40,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,h4,NA,10,40,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,h6,NA,0,70,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,h8,10,10,80,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,j10,NA,0,20,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,j12,NA,0,20,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,j2,NA,5,25,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,j4,NA,0,60,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,j6,NA,10,60,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,j8,NA,0,40,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,l10,NA,5,20,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,l12,NA,0,40,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,l2,NA,10,30,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,l4,NA,5,55,100,adoll,NA,TRUE
barr,2011,29-May-11,brw2,l6,NA,0,50,100,adoll,NA,TRUE
